"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida";"cuantificador"
"Sánchez-Andrade, Cristina: Bueyes y rosas dormían. Madrid: Ediciones Siruela, 2001.";"Sánchez-Andrade, Cristina";"Bueyes y rosas dormían";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";"No siempre hay coincidencia entre párrafo y salto de línea";"entre los árboles, chillan, mugen como terneros y el mugido sale porque no cabe ya más ruido en sus bocas pequeñas, y el sol siempre encanallado se cuela entre los árboles, picotean las espinas de pescado, picotean sin hambre, chocan muchas veces, chocan contra lo que ya han chocado antes, y cuanto más chocan, más chocan y menos plumas tienen, porque sueltan poco a poco una vida sucia que cae ligera desde el cielo hasta la tierra.";"si";"cuanto"
"Terceiro, José B.; Matías, Gustavo: Digitalismo. El nuevo horizonte sociocultural. Madrid: Taurus, 2001.";"Terceiro, José B.; Matías, Gustavo";"Digitalismo. El nuevo horizonte sociocultural";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;"Divulgación";;"Sin embargo, un primer problema es el de los indicadores de la globalización. La globalización de la economía, una de las tendencias económicas dominantes y aceleradas durante la última década, nos ha traído la paradoja de que, cuanto más avanza, más difícil es seguirle los pasos. Cuanto más apreciamos sus cualidades, más se nos ocultan sus cantidades. Y no nos referimos otra vez a la falta de estadísticas de la nueva economía para construir desde ellas la nueva Economía-ciencia, sino a que las ya existentes pierden identidad con los procesos asociados a la";"si";"cuanto"
"Terceiro, José B.; Matías, Gustavo: Digitalismo. El nuevo horizonte sociocultural. Madrid: Taurus, 2001.";"Terceiro, José B.; Matías, Gustavo";"Digitalismo. El nuevo horizonte sociocultural";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;"Divulgación";;"Sin embargo, un primer problema es el de los indicadores de la globalización. La globalización de la economía, una de las tendencias económicas dominantes y aceleradas durante la última década, nos ha traído la paradoja de que, cuanto más avanza, más difícil es seguirle los pasos. Cuanto más apreciamos sus cualidades, más se nos ocultan sus cantidades. Y no nos referimos otra vez a la falta de estadísticas de la nueva economía para construir desde ellas la nueva Economía-ciencia, sino a que las ya existentes pierden identidad con los procesos asociados a la mundialización. Así sucede con casi todos los indicadores de la balanza";"si";"cuanto"
"Terceiro, José B.; Matías, Gustavo: Digitalismo. El nuevo horizonte sociocultural. Madrid: Taurus, 2001.";"Terceiro, José B.; Matías, Gustavo";"Digitalismo. El nuevo horizonte sociocultural";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;"Divulgación";;"- Por último, cuanto más crezca la información, más se reducirá la atención, por lo que también ésta pasará a convertirse en un recurso escaso y alcanzará una mayor valoración. De ahí que la nueva economía será, por encima de todo, economía de la atención y de la emoción, como revelan el creciente uso de captadores de la una o";"si";"cuanto"
"Freixas, Laura: «La noche». Cuentos a los cuarenta. Barcelona: Ediciones Destino, 2001.";"Freixas, Laura";"Cuentos a los cuarenta";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"España";;"Ficción";;"Fuma jadeando. Cuanto más fuma, más ronca le noto la voz. Pero no callará, no... Impresiona, realmente, cuando uno lo piensa, ese pozo sin fondo que es el alma de las mujeres, su insaciable necesidad de hablar y la maldición que las persigue de que nadie las escuche —por gusto, quiero decir— como";"si";"cuanto"
"Delibes de Castro, Miguel: Vida. La naturaleza en peligro. Madrid: Temas de Hoy, 2001.";"Delibes de Castro, Miguel";"Vida. La naturaleza en peligro";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"España";;;;"es hereditaria, los descendientes de aquellos insectos pueden especializarse en vivir sobre esa planta, donde no tienen competidores, y se aislarán de los que no lo hacen. Eso puede ser suficiente para dar lugar a una nueva especie. Insectos y plantas con flores establecen de este modo una carrera de adaptaciones, de modo que cuantos más hay, más se originan. Numerosos fenómenos de este tipo pueden explicar aquella observación del paleontólogo Jablonski de que la tasa de especiación es mayor en las bajas latitudes.";"si";"cuanto"
"Iborra Montells, Antonio: La sanación por los árboles. Manual de las 22 nuevas esencias florales para curar tu cuerpo y equilibrar tus emociones. Barcelona: Océano Ambar, 2001.";"Iborra Montells, Antonio";"La sanación por los árboles. Manual de las 22 nuevas esencias florales para curar tu cuerpo y equilibrar tus emociones";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Salud";"España";;;;"Pero cuidado: un perro ladra y avisa. Nos recuerda que seguimos siendo humanos y que cuanto más subimos, más fuerte puede ser la caída. ¿Podemos sentir nuestra necesidad de aventura? ¿Nos atrevemos a adentrarnos en tierras ignotas donde todo es posible?";"si";"cuanto"
"Beccaria, Lola: La luna en Jorge. Barcelona: Destino, 2001.";"Beccaria, Lola";"La luna en Jorge";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"la arrastra hacia ninguna parte, ningún lazo la ancla a la tierra, ni siquiera los nudos marineros de Jorge. Porque cuando el deseo se convierte en amor, se tiene que echar el ancla, sacrificar el deseo por el lazo afectivo, y ella no es capaz de tal cosa. Por esa misma razón, cuanto más ama, más huye. Por lo que dice Jorge. A veces es tan fuerte la tensión del amor que uno debe soltarse, debe aflojar las amarras porque si no se muere. Ese es el tira y afloja de Sofía.";"si";"cuanto"
"Beccaria, Lola: La luna en Jorge. Barcelona: Destino, 2001.";"Beccaria, Lola";"La luna en Jorge";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"y la diana se vislumbraba diáfana, la estrategia a seguir no figuraba entre las que conformaban el abanico de sus alternativas personales. Porque para buscar a Judith tenía que rastrear un terreno que hacía tiempo había abandonado para siempre. Por eso se dejaba llevar, casi sin rumbo, de la mano de Judith, y cuanto más deseaba salvarla, más parecía arrastrarlo ella a su mundo de fantasía y ensueños, ese mundo perdido, arrumbado por él en la trastienda de la desmemoria desde mucho antes de dejar de ser niño.";"si";"cuanto"
"Boadella, Albert: Memorias de un bufón. Madrid: Espasa Calpe, 2001.";"Boadella, Albert";"Memorias de un bufón";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Artes, cultura y espectáculos";"España";;;;"tan impresionante que a duras penas podía controlar el artefacto. De pronto, dominado por un impulso incontrolable, enfoqué la manguera hacia un grupo de tísicas que tomaban el sol por prescripción médica. Aquellas pobres mujeres, que chillaban desaforadamente, quedaron caladas de arriba abajo. Mi reacción fue la de un animal salvaje: cuanto más chillaban, más ferozmente las regaba.El barullo fue tan monumental que una extraterrestre de alas en la cabeza, llamada sor María del Pilar, me responsabilizó de todas las previsibles muertes. Cuando unos días después, como de costumbre, apareció el coche negro de caballos con plumas en la cabeza, comprendí automáticamente que venía a recoger";"si";"cuanto"
