"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida";"cuantificador"
"Infante Meyer, Carlos: Más Paraíso y menos Infierno. Filosofía práctica del bien vivir. San Salvador: San Pablo, 2004.";"Infante Meyer, Carlos";"Más Paraíso y menos Infierno. Filosofía práctica del bien vivir";2004;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"El Salvador";"México y Centroamérica";"Divulgación";"2004 corresponde al año de la primera edición; esta es una reedición de 2006";"Ya deja de buscar con ansiedad la felicidad, pues ella está presente casi a toda hora en aquellas personas que se dedican a dar amor, servicio y afecto a los demás. No olvides que mientras más damos, más recibimos.";"si";"mientras"
"Merkin, Marta: Los Lugones. Una tragedia argentina. Buenos Aires: Editorial Sudamericana, 2004.";"Merkin, Marta";"Los Lugones. Una tragedia argentina";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Argentina";"Río de la Plata";"Ficción";;"Nada de lo que leía lograba entusiasmarla y para peor, cuanto más leía, más lejos de ese hombre se sentía.";"si";"cuanto"
"Merkin, Marta: Los Lugones. Una tragedia argentina. Buenos Aires: Editorial Sudamericana, 2004.";"Merkin, Marta";"Los Lugones. Una tragedia argentina";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Argentina";"Río de la Plata";"Ficción";;"Cuanto más conocía a Pirí, más se fascinaba. No eran sólo su aspecto, su personalidad, su manera tan original de actuar, la diversidad de sus intereses, todo en ella era original, hasta su baño.";"si";"cuanto"
"Hoyos Olier, Enrique: «Quatre moments musicaux». Cuentos. Bogotá: Universidad Pedagógica Nacional, 2004.";"Hoyos Olier, Enrique";"Cuentos";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Colombia";"Caribe continental";"Ficción";;"Descendimos por una escalera de caracol a una especie de catacumba. Hacía frío. Sólo hace falta una botella de Medoc o de Amontillado para el frío, pensé. Mientras más bajábamos, más intenso era el frío. ""Mi coronel"" iba adelante. Caminaba con pasos seguros; ni muy rápido, ni muy despacio. Pasamos de largo ante unas columnas que formaban una especie de anfiteatro pequeño. Llegamos al fondo del sótano. Era un cuarto enorme, muy refrigerado, con compartimentos";"si";"mientras"
"Ramos-Perea, Roberto: Revolución en el infierno: la masacre de Ponce de 1937. San Juan: Ediciones Mágica, 2005.";"Ramos-Perea, Roberto";"Revolución en el infierno: la masacre de Ponce de 1937";2004;"Fecha de estreno";"Ficción";"Escrito";"Libro";"Guion";"Puerto Rico";"Antillas";"Ficción";"Guión cinematográfico de Roberto Ramos-Perea basado en su obra teatral homónima";"la caja. Se levanta y va tras él, abrazándolo.) Pianito, perdóname que vuelva a insistir... Pero debes ir mañana. ¿Sabes por qué? Porque si no protestamos por el encarcelamiento de don Pedro, se va a pudrir en la cárcel y la lucha no se puede parar. Mientras más seamos, más podemos hacer. Hay que demostrarles a los yanquis que esto es nuestro. Hay que demostrárselo como sea.";"si";"mientras"
"Pérez Cerda, Matilde: Visiones geométricas. Santiago de Chile: Salviat Impresores, 2004.";"Pérez Cerda, Matilde";"Visiones geométricas";2004;"Primera edición";"No ficción";"Escrito";"Libro";"Artes, cultura y espectáculos";"Chile";"Chilena";"Divulgación";;"me interesaba era la geometría y que yo no había cambiado en mi búsqueda, que lamentaba la molestia que le había dado. Él me contestó que siempre pensó que con todo lo que me había enseñado yo habría abandonado la geometría y estaría en condiciones de seguir más adelante con la pintura informalista. Le expliqué que mientras más estudiaba sobre el informalismo más aprendía, por oposición, sobre la geometría.";"si";"mientras"
"Hurtado Vásquez, Diego: ¿Ciudadanos o Ciudadautos? Problemas del uso irracional del automóvil. Quito: CIUDAD, Centro de Investigaciones, 2004.";"Hurtado Vásquez, Diego";"¿Ciudadanos o Ciudadautos? Problemas del uso irracional del automóvil";2004;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"Ecuador";"Andina";"Divulgación";;"Mientras más participemos los ciudadanos más fácilmente podremos transformar la ciudad. Todos tenemos nuestro sueño de ciudad, y podemos citar algunos adjetivos que creo que van con el sueño de todos:";"si";"mientras"
"Colomer, Álvaro: Mimodrama de una ciudad muerta. Madrid: Ediciones Siruela, 2004.";"Colomer, Álvaro";"Mimodrama de una ciudad muerta";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Cuanto más interrumpía el uno, más se encolerizaba el otro:";"si";"cuanto"
"Gopegui, Belén: El lado frío de la almohada. Barcelona: Anagrama, 2004.";"Gopegui, Belén";"El lado frío de la almohada";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"- Es posible. Pero lo que intento es buscar una salida no trascendente. No convertiremos la tierra en mar, pero cuantos más seamos más charcos, más jaleo. Actuar para modificar el equilibrio.";"si";"cuanto"
"Tizón, Eloy: La voz cantante. Barcelona: Anagrama, 2004.";"Tizón, Eloy";"La voz cantante";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;". Nos encontrábamos en un dormitorio cerca de no sé dónde. En el reloj de la torre del ayuntamiento sonaron tres campanadas. Gong. Gong. Gong. El secador de pelo de Mónica Friser había desaparecido. Existía algo truculento en toda aquella historia que no encajaba. Tenía que haber oculto algo más. Cuanto más pensaba en ello, más raro me parecía todo. Como si alguien en algún lado hubiese entornado una puerta y se colase una rendija de frío. O un gran viento de locura.";"si";"cuanto"
"García Montalvo, Pedro: Retrato de dos hermanas. Barcelona: Destino, 2004.";"García Montalvo, Pedro";"Retrato de dos hermanas";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"suele decir, aunque le sienta fatal, y se lo han prohibido radicalmente los médicos, porque se pone nerviosísimo, y se llena de tics.) Luego sigue diciendo: ""Os he hablado alguna vez de la ley general de los sentimientos. Es más bien triste, la verdad... Pero es inexorable. Cuanto más queremos a alguien, más se abre entre nuestras almas el abismo de lo humano. Sólo nos sentimos bien, sin reservas ni problemas, con un amigo al que queremos, pero al que vemos poco. No me digáis que no. Es una obviedad. Lo encontramos en la calle, después de un";"si";"cuanto"
"Be, Carlos: Enemigos. http://carlosbe.blogspot.cz: carlosbe.blogspot.cz, 2013-01-21.";"Be, Carlos";"Enemigos";2004;"Fecha de estreno";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";"Fecha de publicación: fecha de descarga del texto fuente";", nuevas depravaciones para satisfacer su caridad de lujo, para organizarles cacerías, para tocarles el piano o el trombón a la luz de la luna. Podrían montar un harén si quisieran pero ay si una sola de ellas desapareciera o huyera, perder una propiedad les desequilibra. El poseer les reafirma, y cuanto más poseen, más seguros están de sí mismos. Yo le prometo que le traigo a su mujer si usted me promete que me devuelve a mi hijo, ¿acepta el trato? Por favor, no me haga perder más el tiempo. No soy su lacayo. No soy su prostituta. Mi tiempo no le pertenece,";"si";"cuanto"
"Pinto Cañón, Ramiro: «La cuerva del cuervo». La curva del cuervo. Ponferrada: Ediciones Hontanar, 2004.";"Pinto Cañón, Ramiro";"La curva del cuervo";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"España";;"Ficción";;"un «fascista», cuando su oferta funcional nada tenía que ver con la política. Seguíamos como siempre, quejándonos pero sin querer aceptar ningún criterio renovador. Renovarse o morir, nunca mejor dicho, porque resultaba imposible hablar o intentar mediar en las discusiones. Cada persona se escuchaba a sí misma y cuanto más gritase uno, más razón creía tener.";"si";"cuanto"
"Pérez Arriaga, José Ignacio: «Energía y desarrollo sostenible». Jornadas sobre el Futuro de la Energía. Madrid: Real Academia de Ingeniería, 2004.";"Pérez Arriaga, José Ignacio";"Jornadas sobre el Futuro de la Energía";2004;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"España";;"Divulgación";;"El modelo es la metáfora del tren, cuanto más avanza la cabeza más avanza el furgón de cola. El problema es que este modelo de desarrollo no es sostenible ni medioambiental mente, -como acabamos de ver-, ni tampoco socialmente.";"si";"cuanto"
"García Muñoz, Luis: Los secretos contados. Madrid: Castalia, 2004.";"García Muñoz, Luis";"Los secretos contados";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"la parte más floja y no ceden hasta que acaban con ella. En esta historia, ese verbo significa que mi hermano tuvo que ingresar en un psiquiátrico. Le perseguí hasta allí y busqué trabajo para estar cerca, pero nunca llegué a recuperar ningún terreno en la distancia que se había abierto entre los dos. Mientras más desesperaba por lograrlo, más frecuentes eran los desengaños. Le sobraba debilidad pero también le sobraba ingenio, y no tenía reparo en utilizarlo para valerse de mi dependencia. En realidad, creo que lo más triste de todo es que ninguno de los tres hemos cambiado nuestra forma de actuar, seguimos siendo igual";"si";"mientras"
"Martínez, Gabriel: Ático. Barcelona: Destino, 2004.";"Martínez, Gabriel";"Ático";2004;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"— No siempre es así. A veces cuanto más subes más fácil resulta todo. La perspectiva es mejor.";"si";"cuanto"
"Alemañ, Rafael: Relatividad para todos. Madrid: Equipo Sirius, 2004.";"Alemañ, Rafael";"Relatividad para todos";2004;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"España";;;;"contempla ahora desde otro ángulo: es la dilatación del tiempo propio la que incrementa la lentitud del movimiento del objeto desde nuestro punto de vista. Los segundos «propios» del móvil cada vez son más largos conforme aumenta su velocidad y nosotros, que nos encontramos en otro referencial, comprobamos que cuanto más acrecienta su velocidad más tiempo tarda en recorrer la misma distancia. Finalmente, de alcanzar la velocidad c su tiempo propio se detendría y respecto de nosotros tardaría un tiempo infinito en seguir avanzando; en otras palabras, quedaría inmóvil. En cambio, en el sistema de referencia unido al móvil, el tiempo transcurre al";"si";"cuanto"
"Ildefonso, Miguel: «El fuego de la poesía». Ciberayllu. http://andes.missouri.edu/andes/Indice_Completo.html: andes.missouri.edu, 2004-09-20.";"Ildefonso, Miguel";"Ciberayllu";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"Perú";"Andina";;"Periodicidad: variable";"-básicamente mediante el gran paro del 19 de Julio de 1977- y lo obligó a convocar a la Asamblea Constituyente. Incluso el erotismo está visto desde una perspectiva política ya que igual que muchos jóvenes de mi generación creía a ciegas en el apotegma maoísta escrito sobre los muros de Paris, mayo de 1968: Cuanto más hago el amor más ganas tengo de hacer la Revolución y viceversa. Y el lenguaje es tributario del Conversacionalismo que vio nacer ese poemario. En mi segundo cuaderno, Homenaje para Iniciados (1984), ya no tenía ninguna preocupación estrictamente política: ya había pasado por la anárquica vida del Movimiento Kloaka; estaba";"si";"cuanto"
"Feinmann, José Pablo: «Pero la seguridad es para todos». Página/12. Rosario: pagina12.com.ar, 2004-05-02.";"Feinmann, José Pablo";"Página/12";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"Argentina";"Río de la Plata";;;"llama ""Doctor Pangloss"". (A partir de este ""filósofo"" se crea el adjetivo ""panglossiano"" y se aplica a todo razonamiento destinado a convalidar las miserias, las canalladas de este mundo.) Todo cuanto sucede es, para Pangloss, indispensable: ""De las desventuras particulares nace el bien general; de modo que cuanto más abundan las desdichas particulares más se difunde el bien"". Luego de una comida escuálida, ""triste hasta el extremo de que los comensales regaron con sus lágrimas el pan"", Pangloss perseveraba en consolarlos ""diciéndoles que las cosas no podían pasar de otra manera; ni ser mejor de lo que eran""";"si";"cuanto"
"«Las dietas bajas en carbohidratos». El Siglo de Torreón.com.mx. Torreón: elsiglodetorreon.com.mx, 2004-05-24.";;"El Siglo de Torreón.com.mx";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Salud";"México";"México y Centroamérica";"Reportaje";;"en azúcar y pasar al torrente sanguíneo hacen que el cuerpo produzca insulina para contrarrestar su acción. La sobre producción de insulina hace que nuestro nivel de energía baje y sintamos hambre. Generalmente sentimos el deseo de comer mas carbohidratos y al ingerirlos el ciclo inicia de nuevo y crea un circulo vicioso. Entre mas comemos mas deseos de comer sentimos.";"si";"entre"
"«Agenda». La Jornada. Ciudad de México: La Jornada.unam.mx, 2004-08-28.";;"La Jornada";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Actualidad, ocio y vida cotidiana";"México";"México y Centroamérica";"Crónica";;"riesgos de errores arbitrales son los ejes sobre los que el presidente del COI, Jacques Rogge, basará sus futuras acciones para preservar la ""credibilidad"" de los juegos. Respecto a la lucha contra el dopaje, el directivo reafirmó su tolerancia cero. ""Cada caso positivo es, por el contrario, una bendición. Cuantos más detectemos, más ganamos en credibilidad"", sostuvo.";"si";"cuanto"
"«Optimice su computadora con XP gratis!». El Comercio. PC World. Lima: elcomercio.pe, 2004-05-18.";;"El Comercio. PC World";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"Perú";"Andina";"Divulgación";"Periodicidad: semanal. El texto fuente procede de https://archive.org/web/";"3.— Defragmente su disco duro: mientras más use su PC más archivos estarán dispersos en distintas zonas de su disco duro. El proceso de defragmentación reorganiza las piezas que componen un archivo en un solo bloque para procurar un mejor acceso.";"si";"mientras"
"«La derogación del trasvase del Ebro no afectará a la construcción de campos en la provincia de Alicante». Diario de León.es. León: diariodeleon.es, 2004-11-25.";;"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Política, economía y justicia";"España";;"Noticia";;"declaraciones tras presentar el informe ""Agua, ocio, deporte. Una valoración socioeconómica y medioambiental"", apostó por la construcción de campos de golf porque, a su juicio, son ""un valor seguro"" que ayudan a la ""diversificación de la economía"", además de ""viables y un negocio rentable"" porque cuantos más haya ""más turistas vienen"".";"si";"cuanto"
"Gistau, David: «El piscabalo». La Razón. Madrid: Grupo Planeta, 2004-04-22.";"Gistau, David";"La Razón";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"España";;;;"en la que han encontrado guarida algunos de los necios intrigantes más miserables, mezquinos y resentidos con los talentos superiores con los que uno se ha tropezado. Claro, que también surgen de vez en cuando excepciones magníficas, que son las que a uno le reconcilian algo con su vocación, escogida en mala hora, por cierto, que cuanto más conozco mi profesión más me gusta Buenos Aires. Una de estas excepciones es Benjamín Ojeda, que a más de un necio conjurado ha tenido ya que quitarse de encima como las vacas se espantan las moscas con la cola. Supongo que el lector habrá de perdonarme que hoy dedique estas líneas a un asunto personal, pues sólo";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"Cuanto más escribía ella, más viento había. Al terminar, cuando la brisa estaba a punto de arrebatarle el escrito, lo dobló risueña, imitando lo que había visto hacer a Joan, y lo guardó discretamente en su corpiño.";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"Cuanto más subían los papeles, más se movían las cometas. Cada vez era más difícil controlar sus cabriolas aéreas. Joan trató de alejarse cuando vio que los hilos estaban a punto de enredarse, pero fue inútil. La cometa de Soledad acababa de dar una vuelta sobre la suya y había quedado unida desde el centro";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"ser el silencioso portador de la llave que la conectaba con su madre y ese espiritual y mágico ambiente. Porque a él también le estaba pasando lo mismo en aquel lugar; percibía no sólo la total presencia de aquellos ancianos enamorados, sino, por encima de todo, la inconfundible omnipresencia del amor absoluto. Cuanto más iba, más quería ir.";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"cabello ondeando en aquel viento errante, y sacar de la butaca el fajo de textos musicales. Interpretaría como siempre una nueva sonata. Pero esta vez, al tocar el primer compás, las partituras que descansaban inertes sobre el mueble atravesaron el aire enloquecidas, envolviendo en giros el piano y a su intérprete. Cuanto más tocaba, más giraban. Aquel amor invisible se manifestaba. El viento elevaba los papeles en circundas, despeinando las notas del escrito, haciéndolas volar libres, convertidas en diminutos colibríes que entraban y salían del piano desde el fa vacío; notas brillantes haciendo sonar aquel agujero sin tecla. Aurora había elegido la";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"Su madre hacía verdaderos malabares tratando de reconciliarlas, sin ningún resultado. Parecía que cuanto más insistía, más abismos las distanciaban. Un día, Soledad Urdaneta la amenazó:";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"Como surgidos de la tierra aparecían a diestra y siniestra hombres enardecidos, armados de machetes y sed de venganza, que se sumaban a la marabunta y destruían lo que encontraban a su paso. Soledad, paralizada de terror, había sido empujada por aquel río humano y trataba de alcanzar una salida sin resultados. Cuanto más trataba de alejarse, más dentro de la furia se encontraba.";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"-Dadas las circunstancias y con quien te enfrentas, lo mejor que puedes hacer ahora es conseguir unas pruebas contundentes. Se llama chantaje, querido amigo. A los que van de apellido, cuanto más suena más les duele el escándalo.";"si";"cuanto"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"Los minutos no pasaban. Cuanto más observaba el reloj, más se inquietaba... Todavía faltaba una hora para que la recogiera el taxista que la llevaría al Born, y mientras, los nervios iban comiéndole el cuerpo a mordiscos. Los sentía en el pecho, los pulmones y la cabeza. O se serenaba, o no alcanzaría a llegar hasta";"si";"cuanto"
"Cueto, Alonso: La hora azul. Barcelona: Anagrama, 2005.";"Cueto, Alonso";"La hora azul";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";;"Cuando me escapé tenía puestas las botas de Guayo, el uniforme de Guayo, sí, así fue. Primero fui a mi casa. Tocaba la puerta de mi casa y llamaba a mis papás. Pero mientras más llamaba, más nadie contestaba. No había nadie. En Luricocha parecía que todo estaba vacío. Tenía que irme. Me iban a buscar allí. Entonces pensé ir a Huamanga, caminando o corriendo. Pensé que lo único era llegar a la casa de mi tío Vittorino en Huamanga. Iba a tener que correr";"si";"mientras"
"Cueto, Alonso: La hora azul. Barcelona: Anagrama, 2005.";"Cueto, Alonso";"La hora azul";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";;"los miraba, estaban en el aire, retratados en el aire, y tan feliz allí corriendo, ahora que recuerdo, pensando que iban a llegar, yo iba a verlos, iba a ver a mi mamá y a mi papá. Las lágrimas eran malas porque me hacían dar más frío en la cara, mientras más lloraba, más frío tenia.";"si";"mientras"
"Parra, Ángel: Manos en la nuca. Madrid: Tabla Rasa, 2005.";"Parra, Ángel";"Manos en la nuca";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Chile";"Chilena";"Ficción";;"»El sueño de su vida era ganarle a la brisca al Percherón. Desde que lo conoció, construyó su vida en torno a ese objetivo. Mientras más perdía, más se esforzaba en su empeño.";"si";"mientras"
"Mora Vargas, Albán: Cuaderno de rencores. San José: Editorial Costa Rica, 2005.";"Mora Vargas, Albán";"Cuaderno de rencores";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Costa Rica";"México y Centroamérica";"Ficción";;"Cuanto más pensaba en Brett, más difícil me era armar todo el extraño espejismo que reflejaba, como si él fuese el ejemplo perfecto para ilustrar la ambigüedad del hombre. Usaba ropa bonita, tenía un estante con libros de los que no había oído hablar jamás. En su habitación había un portarretratos de dos caras, una";"si";"cuanto"
"Larriqueta, Daniel: La furia de Buenos Aires. Buenos Aires: Sudamericana, 2005.";"Larriqueta, Daniel";"La furia de Buenos Aires";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Argentina";"Río de la Plata";"Ficción";;"se estiraban. Y si bien no le contaría nada más a Eric, sabía que no era sólo la demora lo que lo perturbaba, sino los ""ruidos"" que venían del asunto y que sus contactos cómplices le habían sincerado: hay muchas interferencias y algunos sospechan que están siendo vigilados. Demora y riesgo. Y mientras más demora, más riesgo. ¿Y si le daba a Eric una pista? ¿Por si acaso?";"si";"mientras"
"Triviño Anzola, Consuelo: «La puerta cerrada». La casa imposible. Madrid: Editorial Verbum, 2005.";"Triviño Anzola, Consuelo";"La casa imposible";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Colombia";"Caribe continental";"Ficción";;"en quinientas, cuando le administraban calmantes y se quedaba dormido. Ana, su amiga del bachillerato que se reía a carcajadas de los viejos libidinosos y contaba chistes de lo más procaces sobre viejos y viejas. Ella era su dosis de alegría y se había aferrado a su risa como a una tabla de salvación. Pero cuanto más dependía de ella, más se alejaba. Los fines de semana esperaba su llamada y aún muriéndose de las ganas de coger el teléfono, no atendía cuando sonaba el aparato. Miles de amigos rodeaban a Ana y la requerían, abriendo un abismo entre las dos. Dolida por el abandono, se negaba a salir";"si";"cuanto"
"Jurado Zabala, Tomás: Curduvaré. Caracas: El perro y la rana, 2005.";"Jurado Zabala, Tomás";"Curduvaré";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Venezuela";"Caribe continental";"Ficción";;"Otros ochenta entre los que viniste tú, pero faltarían muchos otros. Ya hay más de cuarenta casas y más de doscientas personas bajo la autoridad del alcalde el capitán Diego Hernández de Serpa. Vendrán más. Y mientras más vengan más dura será la vida de negros y de indios. Más dura.";"si";"mientras"
"Meléndez, Miriam: «Ramón». Cruzando el puente. Hato Rey: Publicaciones Puertorriqueñas, 2005.";"Meléndez, Miriam";"Cruzando el puente";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Puerto Rico";"Antillas";"Ficción";;"Samuel —Porque el silencio nos hace sabios, mientras más mantengamos nuestra boca cerrada más bajo será el margen de error.";"si";"mientras"
"Negrón, Mara: Cartago. San Juan: Editorial Tal Cual, 2005.";"Negrón, Mara";"Cartago";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Puerto Rico";"Antillas";"Ficción";;"de madre. Cada vez que se alejaba, que el deseo de partida, de separación, de abandono resurgían, en realidad estaba volviendo al primer cuerpo. Era difícil para muchos de sus amigos entender esta extraña cadena de substituciones en la que la palabra separación le daba sentido y consistencia corpórea al primer amor. Mientras más distancia más cercanía, mientras más separación más ternura, mientras más lejanía más amor. La predicción se convirtió en la condición del amor y una ciega capacidad de creer en las palabras. Por eso era una persona comedida al hablar. Reflexionaba demasiado antes de hacerlo porque cada palabra estaba henchida de creencia.";"no";"mientras"
"Negrón, Mara: Cartago. San Juan: Editorial Tal Cual, 2005.";"Negrón, Mara";"Cartago";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Puerto Rico";"Antillas";"Ficción";;"para salvar algo, no sabía exactamente qué. Pero, buscaba algo y dejaba que su pensamiento desfilara por delante de sí como un grial sin osar preguntar qué era aquello. Sólo dejaba pasar por su mente vestigios de lo que quizá fue. Y que nunca sabrá. Su infancia se hundía cada vez más. Mientras más intentaba desenterrarla más se borraba. Le era difícil pintar un cuadro. Sus pinceladas en vez de hacer más neta la superficie de los recuerdos, los atenuaba. Las certezas se iban alejando. ¿No sabía si se encontraba en una escena de caza... ni tampoco si era la presa o el cazador?";"si";"mientras"
"Negrón, Mara: Cartago. San Juan: Editorial Tal Cual, 2005.";"Negrón, Mara";"Cartago";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Puerto Rico";"Antillas";"Ficción";;". Llevaba consigo sus libretas de esbozo. Iba anotando los paisajes que luego reproduciría en sus lienzos. Las acuarelas se convirtieron en los testigos sin contornos de sus travesías. Se cuenta también que una vez para sentir y poder pintar la violencia de una tempestad se amarró a un mástil durante cuatro horas. Pero mientras más copiaba la naturaleza real más se adentraba en ella, y descubría que para hacerla hablar no podía reproducir el contorno de lo que se daba a ver al ojo. El color estaba en el aire húmedo, en el rocío, en la neblina. La realidad sólo se infería. No estaba. El color";"si";"mientras"
"Trelles Paz, Diego: El círculo de los escritores asesinos. Canet de Mar: Candaya, 2005.";"Trelles Paz, Diego";"El círculo de los escritores asesinos";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";"El origen del autor del texto es diferente al lugar de publicación del mismo";"Erasmo, no se altere... Le decía que Casandra se acercó sólita a nuestra mesa y nos preguntó si podía sentarse. Ya se imaginará nuestra cara, yo no podía creerlo. Frente a nosotros, la mujer soñada pedía otra cerveza mientras se introducía en nuestra conversación sobre Trilce. La competencia surgió sola: mientras más hablábamos, más nos opacábamos el uno al otro, y lo peor de todo era que nos corregíamos con fingida cordialidad. Ahora me da risa Erasmo. Me veo poniendo cara de instruido y utilizando palabras como hermético o delirio verbal para referirme al texto, y recuerdo también las expresiones engoladas de Ganivet para";"si";"mientras"
"Carvalho Oliva, Homero: La ciudad de los inmortales. Santa Cruz de la Sierra: La Hoguera, 2005.";"Carvalho Oliva, Homero";"La ciudad de los inmortales";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Bolivia";"Andina";"Ficción";;"Me acuerdo bien que era un primer viernes de mes porque esos días son memorables para nosotras, pagan los sueldos en las oficinas de la ciudad y las chicas se alborotan: saben que los hombres con plata en el bolsillo son como los osos, mientras más tienen más generosos, dijiste con cierta picardía que nunca antes habías mostrado.";"si";"mientras"
"Clío: El secreto de Eva. Tegucigalpa: Editorial Guaymuras, 2005.";"Clío";"El secreto de Eva";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Honduras";"México y Centroamérica";"Ficción";;", de un lado hacia el otro, del otro lado hacia el otro y por todos lados el sabor era indescriptible; lo dulce y cremoso de la crema, con lo agridulce de las moras, la canela y las gotas de tequila, todo junto al mezclarse en mi boca, sabía grandioso; cuanto más probaba más comía.";"si";"cuanto"
"Clío: El secreto de Eva. Tegucigalpa: Editorial Guaymuras, 2005.";"Clío";"El secreto de Eva";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Honduras";"México y Centroamérica";"Ficción";;"Seguí buscando, cuanto más leía, más me asustaba; busqué en fechas anteriores, estaba claro, en los inicios decía: ""hoy me imaginé que Paolo venía a mi casa, cómo me gusta ese hombre después de que inicié a trabajar en Atenas y de que él vino a la casa a tomar café, no entiendo cómo ahora me";"si";"cuanto"
