"source"	"ID_sentence"	"date"	"url"	"sentence"	"cor_manual"	"Cita_traducción"	"Interrumpida"	"Introductor"	"Comparativos"	"Modificados"	"Función_Scomp_prótasis"	"Función_Scomp_apódosis"	"SV_prótasis"	"SV_apódosis"	"Tiempo_verbal_prótasis"	"Tiempo_verbal_apódosis"	"Modo_verbal_prótasis"	"Modo_verbal_apódosis"	"Marco_sintáctico_oración"	"Interpretación_tanto_tanto"
"El País"	"2202_6"	"2018-04-12"	"https://elpais.com/deportes/2018/04/12/actualidad/1523533873_370900.html"	"más hundido parece el madrid, más conspiran a su favor los espíritus, las abstracciones y el tiempo."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adj_V"	"Atr"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"2236_3"	"2018-04-08"	"https://elpais.com/politica/2018/04/08/actualidad/1523188110_817884.html"	"más memoria hacía rajoy en su homilía autocomplaciente, menos tenía que ocuparse del terremoto contemporáneo que sacude su partido (cifuentes) y su gobierno (puigdemont)."	"amonesca"	"no"	"no"	"NA"	"más_menos"	"N_V"	"OD"	"CC"	"VS"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"2336_3"	"2018-03-27"	"https://elpais.com/internacional/2018/03/26/actualidad/1522075163_133182.html"	"cuanto más grande es el esfuerzo y el compromiso, más pródiga es la existencia."	"normal"	"no"	"no"	"cuanto"	"más_más"	"Adj_Adj"	"Atr"	"Atr"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"2450_2"	"2018-03-04"	"https://elpais.com/deportes/2018/03/04/actualidad/1520175898_265867.html"	"se diría que el crack argentino se desempeña mejor fuera del área que desde los once metros. y que afina mejor su puntería cuando se le otorgan más líneas de cal, más distancia y más referencias, empezando por la barrera y el desafío de vulnerarla.y por la cruel argucia con que puso a prueba el vuelo estéril de oblak, tan poco entonado como sus compañeros en el desperdicio del primer tiempo."	"inversa"	"no"	"no"	"cuando"	"mejor_más"	"V_N"	"S"	"CC"	"VComp"	"VComp"	"presente"	"presente"	"indicativo"	"indicativo"	"completiva"	"NA"
"El País"	"2482_3"	"2018-02-28"	"https://elpais.com/internacional/2018/02/28/actualidad/1519829875_169811.html"	"tanto proliferaban las extravagancias del cavaliere y trascendían las aberraciones a la democracia, tanto la “sinistra” podía disimular su endogamia, su división y hasta la precariedad de su proyecto político."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"SV"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"3039_4"	"2017-11-28"	"https://elpais.com/elpais/2017/11/26/opinion/1511693686_222353.html"	"menos se nota el gobierno, más eficaz es la política, pero manuela carmena, como ada colau, necesita demostrarnos que nos dirige y hasta que nos cuida."	"amonesca"	"no"	"no"	"NA"	"menos_más"	"V_Adj"	"CC"	"Atr"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"3144_3"	"2017-11-07"	"https://elpais.com/politica/2017/11/06/actualidad/1509967529_714773.html"	"tanto se emponzoñaba el pp en los escándalos de corrupción, tanto sáenz de santamaría renegaba de génova."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"SV"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"3341_2"	"2017-10-09"	"https://elpais.com/politica/2017/10/09/actualidad/1507556504_257638.html"	"tanto la causa constitucionalista carecía de un discurso emotivo, fervoroso e integrador, tanto las palabras del exministro socialista se han recibido como una oración providencial, aunque borrell abjura del papel negociador y rechaza jugar cualquier otro papel político o institucional en la crisis ajeno a sus propias opiniones."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"SV"	"SV"	"imperfecto"	"pretérito perfecto compuesto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"3596_2"	"2017-09-11"	"https://elpais.com/politica/2017/09/11/actualidad/1505148958_698144.html"	"más gente había en las calles, más podía consolidarse la aspiración de la connivencia, no digamos cuando sobrevino entre clamores el trance eucarístico de las 17,14 o cuando decenas de miles de personas emocionaron y se emocionaron en la catarsis coral de els segadors."	"amonesca"	"no"	"no"	"NA"	"más_más"	"N_V"	"OD"	"CC"	"impersonal"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"4155_1"	"2017-05-22"	"https://elpais.com/politica/2017/05/21/actualidad/1495399319_920149.html"	"tanto se amontonaban los escándalos del pp, tanto adquiría prestigio y relevancia la doctrina del monosílabo."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V/N"	"CC"	"CC/OD"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"4471_6"	"2017-04-08"	"https://elpais.com/deportes/2017/04/08/actualidad/1491657948_038852.html"	"tanto mordía el madrid, tanto nos costaba aportar lucidez en las zonas de creación."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V/N"	"CC"	"CC/OD"	"VS"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
